Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402973,Edo Japan,554470126,52.5,0,2.63,67.91,ONLINE,2022-08-18,17:14,5.78
402973,Edo Japan,554566723,35.1,0,1.76,40.72,CARD,2022-08-18,20:50,3.86
402973,Edo Japan,554846766,40.65,0,2.03,49.15,ONLINE,2022-08-19,12:50,4.47
402973,Edo Japan,554872170,17.2,4.5,0.86,26.9,ONLINE,2022-08-19,12:18,1.89
402973,Edo Japan,554920966,16.45,4.5,0.82,28.58,ONLINE,2022-08-19,13:27,1.81
402973,Edo Japan,555092612,26.95,4.5,1.35,35.76,ONLINE,2022-08-19,17:45,2.96
402973,Edo Japan,556263724,35.8,0,1.79,44,ONLINE,2022-08-21,17:32,3.94
402973,Edo Japan,556276689,41.7,0,2.09,48.38,CARD,2022-08-21,16:52,4.59
402973,Edo Japan,556312895,41.8,0,2.09,55.76,ONLINE,2022-08-21,17:47,4.6
402973,Edo Japan,556362582,15.95,4.5,0.8,23,CASH,2022-08-21,19:17,1.75
402973,Edo Japan,556590571,42.8,0,2.14,57.59,Card (G-Pay / via Browser),2022-08-22,11:30,4.71
402973,Edo Japan,556768660,44.85,0,2.24,57.22,ONLINE,2022-08-22,18:17,4.93
402973,Edo Japan,556785354,38.25,0,1.91,49.69,ONLINE,2022-08-22,18:57,4.21
402973,Edo Japan,557112494,46.1,0,2.31,62.04,Card (G-Pay / via Browser),2022-08-23,14:35,5.07
402973,Edo Japan,557187185,14.9,4.5,0.75,21.79,CASH,2022-08-23,17:18,1.64
402973,Edo Japan,557235287,43.1,0,2.16,60,ONLINE,2022-08-23,19:08,4.74
402973,Edo Japan,557618137,19.2,4.5,0.96,26.77,CARD,2022-08-24,16:11,2.11
402973,Edo Japan,557657790,51.7,0,2.59,62.98,PayPal,2022-08-24,17:29,5.69
402973,Edo Japan,557682817,52,0,2.6,66.35,PayPal,2022-08-24,18:22,5.72
402973,Edo Japan,558021246,51.2,0,2.56,59.39,CARD,2022-08-25,13:14,5.63
402973,Edo Japan,558143956,36.85,0,1.84,44.88,PayPal,2022-08-25,17:13,4.05
402973,Edo Japan,558204167,15.5,4.5,0.78,22.49,CARD,2022-08-25,19:12,1.71
402973,Edo Japan,558663951,16.45,4.5,0.82,23.58,ONLINE,2022-08-26,15:20,1.81
402973,Edo Japan,558695074,19.35,4.5,0.97,26.95,CARD,2022-08-26,16:05,2.13
402973,Edo Japan,559074129,52.05,0,2.6,60.38,CARD,2022-08-27,11:59,5.73
402973,Edo Japan,559163065,40.35,0,2.02,46.81,CARD,2022-08-27,12:07,4.44
402973,Edo Japan,559368368,61.95,0,3.1,71.86,CARD,2022-08-27,17:15,6.81
402973,Edo Japan,559405470,11.5,4.5,0.58,19.64,ONLINE,2022-08-27,18:01,1.27
